Tarih	Urun	SatisNetTutar	Kur	Sicaklik
2014-02-23	Meyve	12003.71	2,2012	8,83
2014-02-23	Sebze	15608.87	2,2012	8,83
2014-02-24	Meyve	8243.11	2,2012	6,89
2014-02-24	Sebze	11234.82	2,2012	6,89
2014-02-25	Meyve	7572.16	2,1845	5,50
2014-02-25	Sebze	9660.05	2,1845	5,50
2014-02-26	Meyve	7353.33	2,2086	4,89
2014-02-26	Sebze	9676.31	2,2086	4,89
2014-02-27	Meyve	7505.2	2,2120	6,89
2014-02-27	Sebze	8997.46	2,2120	6,89
2014-02-28	Meyve	7090.4	2,2382	8,61
2014-02-28	Sebze	9772.66	2,2382	8,61
2014-03-01	Meyve	7742.72	2,1757	9,00
2014-03-01	Sebze	11364.27	2,1757	9,00
2014-03-02	Meyve	9136.91	2,2737	7,67
2014-03-02	Sebze	11608.42	2,2737	7,67
2014-03-03	Meyve	9583.08	2,2168	14,56
2014-03-03	Sebze	11821.82	2,2168	14,56
2014-03-04	Meyve	8744.65	2,1350	12,67
2014-03-04	Sebze	11494.6	2,1350	12,67
2014-03-05	Meyve	12117.23	2,1111	18,28
2014-03-05	Sebze	10673.92	2,1111	18,28
2014-03-06	Meyve	11092.67	2,0998	19,22
2014-03-06	Sebze	9103.68	2,0998	19,22
2014-03-07	Meyve	10050.47	2,1312	23,39
2014-03-07	Sebze	8256.04	2,1312	23,39
2014-03-08	Meyve	12596.41	2,1485	25,83
2014-03-08	Sebze	11613.49	2,1485	25,83
2014-03-09	Meyve	7377.17	2,1712	25,89
2014-03-09	Sebze	8159.34	2,1712	25,89
2014-03-10	Meyve	13896.8	2,2714	17,44
2014-03-10	Sebze	18039.17	2,2714	17,44
2014-03-11	Meyve	9236.63	2,2012	11,00
2014-03-11	Sebze	10978.96	2,2012	11,00
2014-03-12	Meyve	6873.69	2,2180	14,06
2014-03-12	Sebze	8272.01	2,2180	14,06
2014-03-13	Meyve	7853.46	2,2499	7,61
2014-03-13	Sebze	9682.95	2,2499	7,61
2014-03-14	Meyve	8162.16	2,2284	7,44
2014-03-14	Sebze	10667.9	2,2284	7,44
2014-03-15	Meyve	12596.59	2,2362	9,50
2014-03-15	Sebze	15079.85	2,2362	9,50
2014-03-16	Meyve	15874.32	2,2362	10,00
2014-03-16	Sebze	17636.68	2,2362	10,00
2014-03-17	Meyve	9393.24	2,2362	11,44
2014-03-17	Sebze	11711.74	2,2362	11,44
2014-03-18	Meyve	7810.79	2,2256	12,67
2014-03-18	Sebze	9578.24	2,2256	12,67
2014-03-19	Meyve	7322.29	2,2265	14,72
2014-03-19	Sebze	8994.89	2,2265	14,72
2014-03-20	Meyve	7830.19	2,2252	11,67
2014-03-20	Sebze	10246.97	2,2252	11,67
2014-03-21	Meyve	8247.91	2,2413	13,61
2014-03-21	Sebze	10286.92	2,2413	13,61
2014-03-22	Meyve	11219.88	2,2390	13,11
2014-03-22	Sebze	16451.79	2,2390	13,11
2014-03-23	Meyve	12636.8	2,2390	12,22
2014-03-23	Sebze	17546.15	2,2390	12,22
2014-03-24	Meyve	9942.38	2,2390	13,83
2014-03-24	Sebze	13109.25	2,2390	13,83
2014-03-25	Meyve	7501.62	2,2410	12,56
2014-03-25	Sebze	11323.35	2,2410	12,56
2014-03-26	Meyve	8491.33	2,2359	11,89
2014-03-26	Sebze	10507.7	2,2359	11,89
2014-03-27	Meyve	8371.64	2,2161	14,50
2014-03-27	Sebze	10031.47	2,2161	14,50
2014-03-28	Meyve	8707.37	2,1951	13,72
2014-03-28	Sebze	12950.18	2,1951	13,72
2014-03-29	Meyve	14678.12	2,1938	9,67
2014-03-29	Sebze	17053.69	2,1938	9,67
2014-03-30	Meyve	14048.74	2,1938	7,56
2014-03-30	Sebze	17686.81	2,1938	7,56
2014-03-31	Meyve	8982.78	2,1938	8,44
2014-03-31	Sebze	11950.77	2,1938	8,44
2014-04-01	Meyve	11049.87	2,1726	8,78
2014-04-01	Sebze	14788.52	2,1726	8,78
2014-04-02	Meyve	8243.03	2,2675	6,83
2014-04-02	Sebze	9181.19	2,2675	6,83
2014-04-03	Meyve	8250.65	2,2225	11,94
2014-04-03	Sebze	10258.04	2,2225	11,94
2014-04-04	Meyve	8882.84	2,1393	13,83
2014-04-04	Sebze	10956.31	2,1393	13,83
2014-04-05	Meyve	16178.38	2,1111	18,39
2014-04-05	Sebze	16082.01	2,1111	18,39
2014-04-06	Meyve	10279.11	2,1054	19,89
2014-04-06	Sebze	7780.82	2,1054	19,89
2014-04-07	Meyve	9685.18	2,1352	21,89
2014-04-07	Sebze	8992.14	2,1352	21,89
2014-04-08	Meyve	9119.73	2,1485	27,00
2014-04-08	Sebze	8914.13	2,1485	27,00
2014-04-09	Meyve	8102.34	2,1656	25,44
2014-04-09	Sebze	8606.72	2,1656	25,44
2014-04-10	Meyve	4437.72	2,2714	17,33
2014-04-10	Sebze	5000.52	2,2714	17,33
2014-04-11	Meyve	7487.9	2,2012	11,72
2014-04-11	Sebze	8809.52	2,2012	11,72
2014-04-12	Meyve	6411.68	2,2180	13,33
2014-04-12	Sebze	9326.76	2,2180	13,33
2014-04-13	Meyve	12597.57	2,1215	12,17
2014-04-13	Sebze	17161.65	2,1215	12,17
2014-04-14	Meyve	10926.63	2,1215	12,44
2014-04-14	Sebze	14464.33	2,1215	12,44
2014-04-15	Meyve	8800.56	2,1306	14,78
2014-04-15	Sebze	10432.23	2,1306	14,78
2014-04-16	Meyve	8654.45	2,1301	17,50
2014-04-16	Sebze	9641.69	2,1301	17,50
2014-04-17	Meyve	9651.85	2,1360	15,39
2014-04-17	Sebze	10807.95	2,1360	15,39
2014-04-18	Meyve	10032.97	2,1341	12,94
2014-04-18	Sebze	12729.47	2,1341	12,94
2014-04-19	Meyve	13545.62	2,1341	14,11
2014-04-19	Sebze	14278.16	2,1341	14,11
2014-04-20	Meyve	14274.57	2,1341	15,17
2014-04-20	Sebze	15369.98	2,1341	15,17
2014-04-21	Meyve	11489.03	2,1322	15,72
2014-04-21	Sebze	12058.28	2,1322	15,72
2014-04-22	Meyve	9523.04	2,1368	18,83
2014-04-22	Sebze	9781.36	2,1368	18,83
2014-04-23	Meyve	12050.36	2,1410	19,39
2014-04-23	Sebze	11128.08	2,1410	19,39
2014-04-24	Meyve	9096.35	2,1410	18,56
2014-04-24	Sebze	10621.29	2,1410	18,56
2014-04-25	Meyve	10079.28	2,1425	14,89
