ozel_gun_adi	baslangic_tarihi_2014	bitis_tarihi_2014	baslangic_tarihi_2015	bitis_tarihi_2015	baslangic_tarihi_2016	bitis_tarihi_2016	baslangic_tarihi_2017	bitis_tarihi_2017	aciklama	ozel_gun_tipi	ozel_gun_tipi_aciklama	resmi_tatil
YGS Sınavı (Lise)	23.03.2014	23.03.2014	?	?	?	?	?	?	Değişken	4	Sınav-Okul Tatilleri	0
Dünya Cüzzam (Lepra) Günü	26.01.2014	26.01.2014	25.01.2015	25.01.2015	31.01.2016	31.01.2016	29.01.2017	29.01.2017	Ocak Ayının Son Pazarı	3	Sosyal-Özel Gün	0
Enerji Tasarrufu Haftası	06.01.2014	12.01.2014	05.01.2015	11.01.2015	11.01.2016	17.01.2016	09.01.2017	15.01.2017	Ocak Ayının İkinci Haftası	3	Sosyal-Özel Gün	0
Nevruz Bayramı	21.03.2014	21.03.2014	21.03.2015	21.03.2015	21.03.2016	21.03.2016	21.03.2017	21.03.2017	Sabit	3	Sosyal-Özel Gün	0
Dünya Çiftçiler Günü	14.05.2014	14.05.2014	14.05.2015	14.05.2015	14.05.2016	14.05.2016	14.05.2017	14.05.2017	Sabit	3	Sosyal-Özel Gün	0
NATO Günü	04.04.2014	04.04.2014	04.04.2015	04.04.2015	04.04.2016	04.04.2016	04.04.2017	04.04.2017	Sabit	3	Sosyal-Özel Gün	0
LYS Sınavı(Lise)	14.06.2014	22.06.2014	?	?	?	?	?	?	Değişken	4	Sınav-Okul Tatilleri	0
İstanbul Shopping Fest	07.06.2014	29.06.2014	?	?	?	?	?	?	Değişken	0	Sosyal-Özel Gün	0
10 Kasım Atatürk"ün Ölüm Günü	10.11.2014	10.11.2014	10.11.2015	10.11.2015	10.11.2016	10.11.2016	10.11.2017	10.11.2017	Sabit	1	Milli Gün	0
Karayolu Güvenliği ve Trafik Haftası	01.05.2014	07.05.2014	01.05.2015	07.05.2015	01.05.2016	07.05.2016	01.05.2017	07.05.2017	Sabit	3	Sosyal-Özel Gün	0
